words,links,capital_words,spam_word_count,is_spam
597,7,16,3,1
273,2,2,5,0
165,0,3,1,0
231,1,2,6,0
188,2,1,2,0
220,0,2,2,0
211,1,2,1,0
35,5,1,1,0
62,10,1,9,1
209,0,8,1,0
122,2,3,2,0
849,7,0,4,1
482,2,0,2,0
50,10,0,4,1
129,0,3,6,0
127,9,2,7,1
161,6,16,4,1
85,4,16,10,1
351,10,7,4,1
127,2,26,7,1
773,7,1,4,1
732,10,18,8,1
771,0,12,8,1
173,5,1,2,0
710,0,26,4,1
366,0,5,0,0
298,2,1,6,0
202,2,0,0,0
161,2,1,1,0
205,1,2,0,0
71,2,2,1,0
327,0,3,0,0
190,3,2,4,0
377,2,0,2,0
528,7,5,8,1
170,8,23,4,1
96,0,3,1,0
730,4,15,0,1
607,9,11,1,1
124,9,7,6,1
212,9,6,8,1
243,1,3,0,0
241,1,5,1,0
984,4,17,9,1
51,0,2,0,0
218,1,6,2,0
271,1,9,0,0
368,1,13,4,1
168,1,29,4,1
41,2,0,2,0
169,0,0,2,0
893,9,6,10,1
408,2,21,0,1
427,2,2,1,0
278,0,2,1,0
218,4,3,1,0
26,2,1,1,0
106,10,11,10,1
109,1,3,0,0
28,4,1,1,0
77,3,3,2,0
189,0,3,1,0
265,4,2,0,0
427,3,3,0,0
124,4,1,5,1
809,2,5,6,1
734,5,20,5,1
418,0,2,2,0
739,2,23,10,1
745,2,10,8,1
675,9,26,2,1
64,2,0,5,0
194,2,3,3,0
83,4,2,1,0
148,2,1,1,0
123,2,6,1,0
208,5,3,0,0
218,1,3,2,0
92,3,17,5,1
189,2,26,1,1
625,3,2,10,1
341,2,19,8,1
836,1,0,7,1
262,0,3,0,0
653,6,21,2,1
133,0,20,6,1
259,3,15,6,1
34,0,0,2,0
459,7,22,7,1
208,4,1,2,0
156,2,11,10,1
722,10,17,1,1
52,3,0,2,0
565,7,15,5,1
713,2,3,2,1
657,9,29,3,1
210,5,2,1,0
375,2,0,2,0
168,4,2,1,0
200,0,0,2,0
888,2,4,3,1
160,2,2,0,0
257,0,2,2,0
116,10,25,7,1
109,2,17,6,1
888,7,9,8,1
318,2,19,10,1
328,1,2,1,0
435,9,6,5,1
118,3,23,1,1
170,10,26,6,1
294,0,2,6,0
229,1,0,6,0
249,7,6,3,1
247,8,8,8,1
710,9,14,0,1
133,2,1,0,0
302,6,21,8,1
452,3,14,4,1
989,10,6,2,1
103,4,3,7,1
165,1,1,1,0
66,2,14,5,1
958,2,19,4,1
146,5,10,5,0
51,1,2,0,0
444,8,0,6,1
108,6,9,2,1
737,2,4,7,1
331,3,1,5,1
558,6,24,5,1
453,3,1,0,0
109,1,1,0,0
151,1,3,2,0
239,1,0,3,0
925,3,23,2,1
475,0,0,2,0
250,2,3,1,0
230,2,3,1,0
174,0,3,6,0
256,2,1,1,0
686,5,23,9,1
37,2,2,2,0
213,1,0,0,0
385,3,25,8,1
194,3,19,3,1
275,0,8,4,0
107,2,2,6,0
364,1,1,1,0
430,8,18,6,1
44,0,3,4,0
264,2,1,0,0
190,3,26,2,1
994,9,20,1,1
268,2,1,1,0
116,5,24,10,1
298,3,22,8,1
73,0,3,1,0
151,2,9,9,1
50,0,1,0,0
290,0,0,2,0
46,2,1,0,0
359,0,1,6,1
83,5,1,2,0
299,0,8,0,0
367,2,2,1,0
191,0,3,2,0
121,2,10,3,1
247,3,3,8,1
85,1,3,3,0
172,0,0,6,0
758,2,21,3,1
30,2,1,0,0
237,2,2,1,0
911,0,5,8,1
166,2,7,1,0
46,2,0,0,0
910,7,24,4,1
118,7,24,7,1
30,0,1,1,0
269,2,1,0,0
341,4,27,3,1
210,0,3,0,0
239,2,2,2,0
101,1,7,7,1
173,2,1,5,0
70,2,7,2,0
451,10,30,6,1
40,1,5,0,0
56,0,3,2,0
130,2,0,2,0
624,9,11,9,1
166,0,0,2,0
802,10,30,8,1
554,5,7,6,1
858,5,12,3,1
132,0,1,0,0
294,1,0,1,0
488,0,3,2,0
133,0,2,0,0
208,0,0,0,0
199,7,5,4,1
234,1,0,2,0
236,0,1,3,0
288,0,3,2,0
263,2,1,1,0
56,0,0,5,0
270,1,3,4,0
845,9,28,5,1
81,6,3,2,1
252,2,1,1,0
540,8,0,8,1
191,1,1,2,0
156,3,11,6,1
45,0,1,2,0
203,0,7,2,0
335,8,20,1,1
160,1,3,0,0
43,0,1,1,0
305,2,6,10,1
807,7,22,4,1
167,2,17,6,1
202,1,5,3,0
394,9,5,5,1
50,10,4,6,1
263,1,0,2,0
928,6,10,9,1
173,2,3,0,0
814,7,7,7,1
124,1,2,1,0
119,2,9,6,1
410,5,22,9,1
275,2,0,0,0
134,0,2,5,0
947,8,23,4,1
929,7,19,1,1
212,3,19,7,1
400,3,29,8,1
611,4,21,5,1
301,9,6,7,1
781,8,16,7,1
316,3,3,5,1
54,2,11,5,1
982,6,8,8,1
418,7,20,3,1
108,4,3,0,0
960,1,5,3,1
142,4,0,0,0
350,9,7,1,1
98,6,3,6,1
69,1,1,2,0
125,1,1,0,0
254,8,5,5,1
352,2,0,5,0
816,9,12,5,1
157,1,2,1,0
253,2,3,2,0
141,1,0,3,1
425,1,0,0,0
290,3,2,2,0
372,9,21,5,1
154,3,27,0,1
185,0,3,0,0
331,2,2,4,0
955,6,10,8,1
179,2,10,0,0
217,0,0,1,0
129,9,5,3,1
103,2,25,7,1
36,0,3,2,0
163,5,0,1,0
96,1,10,1,0
227,3,1,1,0
633,2,19,8,1
224,1,1,3,0
279,2,0,2,0
149,1,3,2,0
663,6,22,9,1
975,5,27,5,1
213,0,0,2,0
226,2,0,1,0
716,3,28,1,1
56,0,2,1,0
92,2,5,1,1
79,1,0,2,0
233,4,8,2,0
300,2,1,4,0
151,0,0,2,0
142,1,21,0,1
74,0,2,0,0
781,8,22,2,1
93,0,0,4,0
370,0,2,2,0
232,2,30,6,1
314,0,2,0,0
233,5,1,2,0
202,0,2,0,0
723,2,3,5,1
545,4,4,8,1
134,2,3,2,0
56,0,3,1,0
493,9,6,9,1
161,6,22,3,1
374,3,17,3,1
37,1,2,2,0
205,0,0,2,0
62,0,10,2,0
366,3,0,5,1
174,6,29,5,1
327,2,0,10,1
723,6,18,3,1
750,10,9,3,1
217,2,3,2,0
128,2,8,3,1
300,5,3,6,1
855,2,15,3,1
647,2,11,1,1
224,4,26,2,1
198,3,3,2,0
78,6,5,10,1
132,2,2,0,0
470,2,0,3,0
350,6,1,7,1
490,5,7,7,1
997,6,6,7,1
90,0,2,2,0
842,2,16,4,1
243,1,3,2,0
55,0,6,2,0
45,0,2,2,0
252,2,2,2,0
439,5,7,7,1
140,2,0,1,0
349,8,7,2,1
274,1,1,0,0
630,8,27,5,1
111,1,20,6,1
187,2,3,0,0
454,4,15,2,1
189,2,3,2,0
31,5,1,6,0
223,0,6,0,0
77,5,2,1,0
281,1,2,0,0
193,2,2,1,0
222,3,26,9,1
246,1,2,4,0
60,2,3,2,0
151,3,11,4,1
153,2,3,1,0
905,5,5,7,1
994,2,10,6,1
197,1,1,4,0
878,5,4,5,1
194,2,5,1,0
222,2,0,2,0
768,5,18,3,1
121,0,27,4,1
242,1,1,4,0
178,1,2,2,0
482,3,16,6,1
149,3,25,6,1
193,2,1,1,1
91,3,0,5,0
155,2,1,3,0
123,0,0,2,0
507,0,21,8,1
532,7,25,4,1
54,0,3,1,0
446,0,4,2,0
124,1,9,0,0
638,2,25,1,1
67,4,7,2,0
491,3,2,2,0
172,3,1,1,0
948,8,2,8,1
116,1,3,0,0
150,0,1,1,0
197,2,3,5,0
295,2,1,1,0
839,1,27,10,1
913,8,3,8,1
855,4,3,10,1
134,5,3,10,1
228,1,0,0,0
85,5,1,1,0
45,2,0,1,0
203,0,2,6,0
122,4,20,8,1
125,1,0,0,0
184,0,4,0,0
659,2,27,3,1
496,2,2,2,0
273,2,26,6,1
983,5,4,7,1
189,4,2,0,0
295,0,3,1,0
888,2,10,0,1
198,1,3,0,0
59,5,3,1,0
948,5,26,1,1
286,3,23,3,1
379,0,3,2,0
229,0,4,6,0
277,2,1,1,0
110,5,0,1,0
67,7,22,9,1
159,2,3,0,0
260,2,2,0,0
184,2,3,2,0
593,4,20,3,1
239,1,0,2,0
260,1,1,0,0
731,0,21,3,1
371,0,1,3,1
387,1,3,0,0
134,9,11,1,1
323,3,25,3,1
159,2,1,2,0
194,1,4,5,0
507,3,3,10,1
212,0,0,2,0
152,2,1,2,0
105,1,2,0,0
154,2,23,9,1
387,3,19,3,1
177,2,3,1,0
241,2,3,1,0
696,6,28,8,1
92,0,3,0,0
55,7,22,10,1
294,1,2,1,0
173,10,22,8,1
127,2,2,5,0
410,0,0,2,0
271,2,2,0,0
822,9,20,5,1
389,1,27,2,1
245,1,5,5,1
268,0,1,0,0
170,10,2,6,1
592,9,26,6,1
292,1,2,1,0
382,5,4,9,1
208,0,0,1,0
146,2,10,2,0
268,0,2,2,0
721,4,21,9,1
865,7,10,8,1
955,5,11,5,1
871,8,6,6,1
402,3,4,10,1
195,2,0,1,0
383,10,10,1,1
31,1,2,1,0
212,1,3,1,0
175,2,2,2,0
257,0,2,0,0
121,0,17,4,1
63,6,9,8,1
297,4,21,7,1
115,1,2,0,0
710,2,6,7,1
141,1,2,1,0
153,4,3,2,0
392,6,28,9,1
206,3,1,1,0
49,2,3,2,0
158,3,0,1,0
81,2,2,2,0
251,5,5,0,0
284,1,1,0,0
272,10,8,4,1
750,7,4,10,1
472,2,1,2,0
214,1,2,1,0
278,0,1,4,0
610,4,25,3,1
60,0,2,1,0
927,1,21,5,1
78,5,19,3,1
326,1,0,1,0
94,0,0,0,0
201,0,7,2,0
212,2,3,1,0
167,2,12,7,1
794,2,6,9,1
73,1,3,1,0
505,10,3,6,1
134,2,22,9,1
442,4,2,10,1
212,5,1,3,0
198,2,2,0,0
900,9,6,6,1
300,1,3,0,0
22,2,2,2,0
258,1,3,1,0
230,0,2,5,0
62,2,2,0,0
514,9,7,7,1
186,0,2,1,0
832,8,2,10,1
133,1,2,2,0
123,3,4,7,1
345,0,1,1,0
269,2,0,5,0
319,1,3,2,0
97,0,3,0,0
77,2,5,3,1
565,6,7,7,1
27,1,6,2,0
218,6,18,9,1
286,1,10,2,0
430,8,16,3,1
167,2,3,4,0
919,0,16,8,1
657,5,28,3,1
130,1,2,5,0
295,2,2,1,0
646,4,25,9,1
150,5,3,2,0
857,7,6,9,1
665,9,15,8,1
107,0,1,2,0
663,8,21,6,1
647,2,5,1,1
224,0,3,2,0
85,8,4,9,1
88,5,3,5,0
82,2,2,1,0
846,0,4,4,1
67,5,2,2,0
22,1,1,2,0
452,10,3,4,1
142,5,4,10,1
110,6,10,8,1
56,4,30,8,1
92,6,11,10,1
704,2,9,10,1
299,8,0,10,1
160,1,1,0,0
53,2,16,6,1
464,7,9,9,1
171,4,3,0,0
182,2,5,4,0
612,0,22,3,1
111,0,3,3,0
106,0,1,3,0
733,7,9,9,1
114,4,2,1,0
283,8,30,1,1
243,2,2,4,0
270,2,3,1,0
533,1,30,5,1
136,9,10,3,1
81,0,9,1,0
505,5,7,10,1
78,0,1,2,0
178,2,18,5,1
172,2,0,1,0
259,10,20,7,1
201,0,1,0,0
99,1,0,2,0
757,9,30,3,1
930,0,8,7,1
283,0,2,1,0
448,9,10,9,1
184,4,1,2,0
650,6,17,9,1
383,0,19,4,1
470,3,22,10,1
475,1,7,7,1
231,4,3,2,0
169,2,3,3,0
493,2,5,1,0
335,4,21,9,1
418,1,21,6,1
87,1,28,7,1
959,2,30,6,1
517,6,19,4,1
209,0,2,2,0
333,2,2,4,0
52,0,2,2,0
242,1,1,2,0
74,1,0,2,0
458,5,22,9,1
80,3,13,6,1
776,7,28,7,1
129,1,8,2,0
280,2,2,2,0
860,6,26,8,1
220,2,0,2,0
357,9,16,1,1
874,1,1,5,1
910,9,9,5,1
218,2,2,1,0
316,8,11,8,1
435,2,0,1,0
51,2,4,2,0
250,4,19,5,1
717,5,30,4,1
571,10,16,4,1
116,2,3,1,0
209,1,2,2,0
160,2,2,2,0
824,2,20,4,1
315,3,21,3,1
710,8,12,9,1
211,1,2,4,0
107,0,2,0,0
804,10,15,3,1
256,2,8,10,1
188,2,22,6,1
880,5,22,5,1
103,0,1,0,0
71,0,0,2,0
88,7,24,7,1
292,2,2,2,0
206,1,1,0,0
255,2,26,1,1
78,1,9,2,0
761,5,29,7,1
126,4,1,7,1
280,2,3,2,0
579,3,9,7,1
454,2,3,5,0
288,3,1,1,0
72,2,0,2,0
247,1,3,0,0
166,1,2,0,0
405,1,1,2,0
21,0,1,1,0
645,2,9,3,1
333,10,13,6,1
154,5,0,2,0
177,1,1,2,0
210,2,3,4,0
52,2,0,1,0
665,3,4,10,1
142,3,26,9,1
290,0,1,0,0
87,1,3,1,0
924,8,15,10,1
767,5,4,6,1
192,3,16,3,1
355,1,15,5,1
91,2,2,2,0
124,2,3,1,0
199,2,0,4,1
39,0,0,1,0
137,2,0,0,0
159,2,2,1,0
137,2,30,10,1
155,9,30,1,1
81,10,22,8,1
542,2,12,3,1
97,1,2,0,0
260,8,5,4,1
219,1,3,1,0
272,2,3,0,0
476,0,1,2,0
107,2,0,2,0
38,1,2,1,0
850,2,7,9,1
25,5,2,1,0
306,2,7,0,0
941,5,16,4,1
342,1,2,0,0
110,4,29,8,1
225,2,1,2,0
356,10,17,4,1
131,8,10,3,1
161,3,9,3,1
188,0,0,1,0
488,2,0,1,0
129,3,30,1,1
115,2,6,0,1
158,2,2,1,0
47,0,0,1,0
121,1,2,3,0
181,8,6,6,1
29,1,1,1,0
23,3,0,1,0
162,5,5,9,1
784,4,12,10,1
275,10,28,3,1
288,5,3,0,0
295,1,2,5,0
990,3,6,5,1
106,8,3,6,1
282,1,0,0,0
139,8,2,0,1
197,2,10,4,1
575,5,27,4,1
321,6,23,8,1
460,4,0,1,0
706,7,27,7,1
158,2,4,1,0
115,0,3,0,0
347,0,3,1,0
256,1,3,1,0
867,8,26,10,1
51,2,1,0,0
322,0,2,4,0
862,3,2,4,1
717,8,22,7,1
312,2,2,2,0
385,2,1,2,0
301,10,30,3,1
63,1,2,0,0
730,0,19,8,1
21,0,2,4,0
156,1,1,1,0
150,4,16,0,1
655,7,10,1,1
132,0,10,0,0
221,1,0,0,0
243,2,0,0,0
177,2,1,0,0
49,1,2,1,0
528,4,17,7,1
169,0,2,1,0
382,1,14,0,1
251,1,1,0,0
744,6,2,3,1
178,0,1,0,0
447,2,0,0,0
79,0,2,0,0
249,0,3,2,0
473,1,0,2,0
688,9,28,9,1
194,10,27,5,1
156,3,3,0,0
226,2,2,0,0
207,2,9,2,0
71,6,14,5,1
353,2,4,2,0
73,4,3,0,0
60,3,25,9,1
503,5,20,6,1
103,2,2,2,0
114,0,0,3,0
178,2,1,2,0
65,0,4,2,0
322,5,2,1,0
797,9,9,6,1
178,1,2,2,0
87,0,3,0,0
821,8,7,7,1
27,0,2,0,0
230,3,14,7,1
28,0,1,0,0
44,0,0,6,0
662,5,6,7,1
459,2,7,8,1
338,0,0,0,0
144,8,27,10,1
120,3,20,4,1
211,1,9,0,0
166,0,9,0,0
638,7,25,9,1
294,7,27,3,1
244,2,2,4,0
111,2,0,3,0
454,2,0,5,0
329,3,1,2,0
536,0,13,6,1
935,5,18,9,1
169,0,2,3,0
155,1,1,6,0
993,5,18,5,1
339,2,1,2,0
279,2,3,5,1
273,0,0,2,0
277,1,6,4,1
775,10,1,3,1
944,10,15,6,1
142,8,16,1,1
314,5,15,7,1
715,6,26,5,1
183,5,2,0,0
261,10,27,6,1
480,2,3,0,0
55,3,2,10,1
325,6,3,8,1
828,8,12,4,1
270,2,2,2,0
296,0,1,1,0
780,9,7,3,1
217,2,10,0,0
651,10,1,9,1
153,1,2,0,0
445,0,3,2,0
242,2,3,5,0
653,9,30,9,1
429,2,24,6,1
280,0,7,0,0
355,1,27,6,1
283,0,2,0,0
64,1,5,2,0
302,7,15,0,1
732,4,11,1,1
281,1,2,1,0
523,2,12,4,1
720,0,30,3,1
21,0,2,1,0
60,1,7,3,0
28,0,1,0,0
188,1,0,2,0
127,0,3,6,0
431,6,20,10,1
923,2,26,10,1
807,7,3,7,1
872,5,0,10,1
71,2,0,1,0
203,2,24,2,1
291,0,3,0,0
42,1,2,2,0
289,0,1,1,0
455,1,3,0,0
432,9,14,3,1
331,2,1,1,0
179,0,2,0,0
29,1,2,1,0
784,9,6,3,1
540,7,28,10,1
317,0,1,1,0
422,5,23,7,1
178,3,20,3,1
283,1,1,1,0
810,7,16,4,1
247,0,1,2,0
451,2,19,3,1
128,1,24,1,1
106,3,3,1,0
735,7,16,2,1
269,4,1,2,0
125,3,26,2,1
270,1,2,0,0
829,1,6,6,1
953,10,29,7,1
157,2,13,5,1
108,1,3,2,0
442,3,28,10,1
88,2,2,0,0
282,4,26,6,1
644,2,23,6,1
863,2,22,10,1
107,4,18,8,1
887,10,16,3,1
158,1,10,1,0
500,5,8,7,1
193,4,1,2,0
113,4,0,0,0
277,0,1,1,0
996,9,2,8,1
202,1,1,1,0
360,2,1,5,0
179,4,13,10,1
523,10,19,10,1
80,2,0,2,0
238,2,2,5,0
124,2,29,5,1
187,4,10,3,0
520,9,8,10,1
169,9,12,8,1
465,6,12,6,1
286,0,9,1,0
51,5,7,2,0
138,6,13,5,1
328,10,30,10,1
352,5,23,4,1
396,5,7,9,1
187,4,18,3,1
162,2,3,5,0
511,3,15,10,1
219,1,8,0,0
292,1,3,1,0
944,7,0,4,1
181,2,12,2,1
744,10,3,7,1
495,5,1,5,0
490,3,30,1,1
216,1,1,2,0
640,3,16,2,1
250,2,8,1,0
670,2,16,2,1
148,3,5,1,0
32,0,4,2,0
83,2,16,3,1
364,3,23,6,1
463,8,7,8,1
202,2,2,0,0
791,8,19,8,1
93,9,22,1,1
67,8,23,7,1
207,0,4,0,0
779,3,23,8,1
129,2,21,7,1
174,2,1,1,0
869,2,18,1,1
694,5,24,4,1
141,1,1,1,0
25,2,0,2,0
112,7,6,5,1
138,0,3,2,0
271,4,1,0,0
413,1,6,1,0
79,4,25,6,1
167,2,13,1,1
94,1,2,0,0
623,3,7,2,1
656,9,13,3,1
277,8,15,3,1
98,2,0,2,0
602,2,7,5,1
459,1,0,2,0
89,4,26,4,1
167,5,3,1,0
236,1,19,3,1
97,2,29,10,1
30,1,2,2,0
714,9,30,7,1
238,0,2,2,0
186,0,4,0,0
553,1,6,3,1
491,0,2,1,0
317,2,0,2,0
270,2,2,4,0
633,1,19,2,1
55,4,10,10,1
57,0,2,0,0
250,0,2,2,0
259,0,3,1,0
219,4,0,2,0
473,10,11,4,1
176,3,12,3,1
123,2,2,0,0
420,0,11,4,1
333,10,7,10,1
273,2,3,1,0
101,1,14,6,1
192,2,30,7,1
333,7,14,7,1
119,8,24,8,1
208,1,2,0,0
618,4,1,6,1
164,7,10,6,1
908,2,29,9,1
473,4,12,9,1
511,3,26,5,1
231,8,6,7,1
395,0,0,3,0
596,2,6,2,1
218,1,3,3,0
647,5,17,10,1
649,1,19,10,1
505,4,25,6,1
245,0,2,3,0
643,5,27,6,1
124,0,28,7,1
213,2,10,4,0
895,5,21,4,1
818,6,7,0,1
151,2,3,6,0
193,2,3,1,0
76,3,19,7,1
255,4,1,4,0
769,10,3,5,1
281,2,7,2,0
165,3,4,0,0
810,7,8,9,1
123,4,2,2,0
294,2,1,0,0
115,6,4,3,1
428,9,5,2,1
132,2,5,6,0
183,1,23,3,1
805,3,30,0,1
495,1,1,3,0
495,6,4,9,1
192,10,23,6,1
291,1,1,2,0
50,2,23,7,1
80,3,1,0,0
316,3,0,7,1
205,1,0,5,0
885,3,14,5,1
57,2,0,5,0
126,2,1,2,0
66,0,1,0,0
351,4,27,2,1
206,0,0,0,0
213,7,7,2,1
28,4,0,0,0
785,4,22,6,1
108,1,2,0,0
236,2,1,2,0
64,9,24,2,1
601,8,5,9,1
716,0,2,6,1
143,10,28,8,1
275,0,1,0,0
60,4,0,0,0
632,4,24,4,1
640,9,15,8,1
644,2,16,2,1
114,1,20,3,1
381,3,24,3,1
112,1,2,0,0
514,2,11,3,1
80,3,1,6,0
812,9,13,7,1
106,2,0,6,0
72,2,19,4,1
296,2,1,1,0
195,2,0,0,0
184,3,2,2,0
62,1,1,0,0
429,2,1,4,0
160,1,1,2,0
834,0,9,6,1
173,1,7,2,1
300,4,18,6,1
37,0,2,0,0
151,4,0,6,1
405,5,4,9,1
754,9,24,4,1
70,2,3,0,0
286,4,3,2,0
227,2,0,2,0
73,2,2,0,0
792,6,28,7,1
51,0,2,2,0
54,2,1,1,0
99,0,1,1,0
806,10,23,7,1
239,4,5,2,1
157,2,0,0,0
691,3,26,3,1
429,2,2,1,0
220,1,0,0,0
778,3,10,3,1
76,1,2,0,0
849,2,10,5,1
665,2,23,0,1
184,2,4,1,0
451,2,5,3,1
273,2,0,0,0
296,10,0,10,1
279,0,1,0,0
547,1,14,3,1
133,3,20,1,1
202,0,2,0,0
168,0,7,10,1
816,2,1,2,1
26,2,1,2,0
543,1,4,10,1
151,10,8,1,1
379,0,1,0,0
500,4,18,3,1
383,4,2,2,0
51,2,6,3,1
119,3,5,4,1
119,0,27,7,1
210,3,5,0,0
81,1,1,2,0
157,1,2,0,0
161,3,3,0,0
449,2,0,8,1
74,2,3,0,0
429,1,3,4,0
552,0,13,4,1
54,2,0,0,0
60,0,9,4,0
325,1,0,2,0
730,8,20,4,1
926,0,20,8,1
253,2,6,2,0
193,2,0,0,0
162,0,3,1,0
206,0,2,0,0
567,3,1,9,1
168,0,0,1,0
661,4,21,4,1
736,5,29,9,1
180,1,4,1,0
182,2,0,2,0
186,0,2,1,0
290,1,3,6,0
246,9,19,3,1
856,3,1,6,1
985,3,10,3,1
600,8,15,6,1
173,2,18,6,1
838,2,6,9,1
943,10,7,7,1
196,10,1,8,1
468,1,4,1,0
240,0,2,1,0
31,2,2,0,0
318,2,3,0,0
113,0,2,4,0
759,8,11,8,1
483,6,21,10,1
83,1,1,0,0
560,5,0,4,1
237,1,4,3,1
714,2,16,9,1
121,8,10,8,1
689,10,27,9,1
899,2,21,7,1
218,2,5,0,0
35,0,1,0,0
220,9,24,2,1
142,0,1,10,1
45,1,1,1,0
665,8,6,5,1
431,1,1,2,0
107,6,24,0,1
741,3,13,10,1
898,10,25,3,1
519,4,0,4,1
68,1,1,6,0
839,2,7,9,1
113,10,9,6,1
714,3,28,6,1
35,2,2,5,0
204,1,1,0,0
869,7,12,0,1
196,1,1,2,0
364,10,11,1,1
137,2,0,0,0
88,1,25,10,1
166,2,0,1,0
772,4,14,2,1
871,3,10,8,1
975,8,20,5,1
632,5,29,5,1
226,0,2,2,0
177,0,1,1,0
664,10,6,7,1
146,1,3,2,0
289,3,3,3,0
201,2,1,2,0
126,1,3,0,0
877,9,20,5,1
589,8,20,6,1
253,2,0,1,0
574,7,0,10,1
254,0,1,2,0
292,7,3,10,1
300,9,4,6,1
208,0,3,4,0
413,8,28,4,1
682,4,16,3,1
375,5,24,1,1
819,3,28,0,1
1000,0,30,6,1
90,1,3,2,0
182,1,1,1,0
299,5,27,10,1
137,2,2,0,0
156,2,1,0,0
349,3,6,10,1
398,2,3,4,0
324,1,10,3,1
259,3,3,3,0
326,8,11,4,1
207,0,0,2,0
288,4,0,4,0
142,0,0,1,0
560,5,17,3,1
23,0,1,1,0
269,3,0,2,0
109,2,5,2,1
234,4,29,5,1
167,0,2,0,0
416,2,0,4,0
62,1,1,2,0
308,3,19,3,1
456,7,24,9,1
259,3,3,2,0
223,1,6,3,0
37,0,2,1,0
750,6,21,2,1
388,1,9,8,1
516,9,2,4,1
951,8,8,6,1
31,0,2,5,0
108,0,0,9,1
218,0,1,6,1
199,4,24,8,1
83,1,0,0,0
499,4,0,1,1
259,8,21,9,1
284,0,3,6,0
168,3,18,7,1
424,10,1,7,1
153,0,3,1,0
613,8,12,8,1
82,0,2,1,0
56,1,4,0,0
149,3,30,2,1
129,2,0,1,0
229,3,24,6,1
229,2,3,0,0
139,1,0,3,0
151,0,4,2,0
589,2,3,10,1
210,3,2,2,0
967,3,28,3,1
677,4,25,3,1
425,6,2,5,1
284,9,26,6,1
212,2,0,0,0
687,3,13,1,1
903,5,5,3,1
66,1,10,2,0
185,5,3,2,0
555,2,17,3,1
133,0,10,2,0
137,7,18,7,1
264,7,3,9,1
197,6,14,4,1
583,2,10,6,1
630,5,5,4,1
538,3,20,5,1
65,2,2,2,0
502,10,27,6,1
322,9,2,10,1
208,2,15,0,1
241,0,9,4,0
48,1,0,0,0
922,6,7,10,1
248,2,1,2,0
45,0,2,0,0
354,5,6,4,1
195,2,5,0,1
70,7,1,8,1
154,9,25,10,1
191,2,0,2,0
94,9,7,1,1
946,7,16,10,1
337,3,9,7,1
